PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Antoine Walker,MIA,30,78,42,36,52.2,18.9,7.6,19.2,39.7,2.4,8.8,27.5,1.3,3.0,43.8,2.6,7.1,9.7,3.7,4.0,1.4,0.5,5.0,37.8,3,0,-1.0,06-07,Antoine Walker(06-07),MIA(06-07),100.8,102.9,-2.2,12.2,0.92,13.2,5.4,14.1,9.8,14.3,46.0,46.2,21.9,91.52,6.7,1,2,2
Joey Graham,TOR,25,79,47,32,49.6,18.9,7.2,14.6,49.5,0.3,1.2,29.0,4.1,4.9,84.0,2.1,7.3,9.3,1.7,1.8,1.1,0.2,6.1,34.6,1,0,2.8,06-07,Joey Graham(06-07),TOR(06-07),104.7,102.0,2.8,5.3,0.9,8.2,4.5,15.3,10.0,9.1,50.6,56.4,16.8,96.71,8.4,0,1,1
Luke Ridnour,SEA,26,71,29,42,50.7,18.9,7.3,16.9,43.3,1.2,3.4,35.3,3.1,3.9,80.5,0.7,3.3,4.0,8.9,3.8,2.0,0.5,4.4,40.7,6,0,-4.0,06-07,Luke Ridnour(06-07),SEA(06-07),104.8,108.3,-3.6,27.6,2.36,28.6,1.4,6.9,4.1,12.1,46.8,50.9,19.6,94.78,8.8,3,0,0
Keyon Dooling,ORL,27,66,33,33,52.0,18.9,6.8,16.6,41.0,1.1,3.5,32.3,4.1,5.1,80.9,0.8,2.3,3.1,4.1,2.6,1.9,0.5,4.5,33.4,0,0,0.7,06-07,Keyon Dooling(06-07),ORL(06-07),103.7,103.5,0.2,13.5,1.56,16.0,1.6,4.8,3.2,10.3,44.4,50.1,18.4,92.01,6.8,1,2,2
Jason Maxiell,DET,24,67,44,23,53.3,18.9,7.4,14.8,50.0,0.0,0.0,0.0,4.1,7.7,52.6,5.0,5.5,10.5,0.8,3.0,1.7,3.4,6.2,45.0,2,0,2.9,06-07,Jason Maxiell(06-07),DET(06-07),102.3,97.2,5.0,2.5,0.26,3.6,9.7,10.3,10.0,13.6,50.0,51.8,18.2,91.04,7.0,0,1,1
Troy Murphy,IND,27,68,24,44,50.1,18.9,7.2,15.7,45.8,1.6,4.0,39.5,2.9,3.9,74.5,2.7,8.5,11.2,3.4,2.1,1.2,1.1,5.3,42.4,8,0,-5.7,06-07,Troy Murphy(06-07),IND(06-07),101.5,107.4,-5.8,11.2,1.62,14.8,5.3,17.5,11.2,9.2,50.8,54.1,17.2,95.82,10.1,1,2,2
Joe Smith,PHI,31,65,36,29,51.2,18.8,7.3,16.3,44.9,0.0,0.2,0.0,4.3,5.0,84.5,4.1,9.5,13.6,1.7,2.6,1.3,0.9,5.0,41.7,8,0,0.3,06-07,Joe Smith(06-07),PHI(06-07),102.0,101.7,0.3,5.5,0.64,7.4,8.5,19.4,14.0,11.4,44.9,51.0,18.2,93.68,10.1,0,1,1
Maurice Evans,LAL,28,76,39,37,51.1,18.8,6.9,16.0,43.2,1.4,3.9,36.1,3.6,4.6,78.7,2.7,3.8,6.5,2.2,1.7,1.1,0.4,3.7,32.9,0,0,-0.1,06-07,Maurice Evans(06-07),LAL(06-07),106.3,106.3,0.0,7.0,1.3,10.0,5.5,7.7,6.6,7.7,47.6,52.3,17.3,93.92,7.3,1,2,2
DeShawn Stevenson,WAS,26,82,41,41,49.5,18.8,7.1,15.4,46.1,1.5,3.7,40.4,3.1,4.4,70.4,1.1,3.3,4.4,4.5,2.4,1.3,0.4,3.2,33.5,1,0,-1.3,06-07,DeShawn Stevenson(06-07),WAS(06-07),108.4,110.0,-1.7,13.9,1.83,18.3,2.2,7.0,4.5,10.0,51.0,54.2,17.3,96.89,7.6,1,2,2
Tarence Kinsey,MEM,23,48,13,35,49.2,18.8,7.1,15.5,45.7,0.7,2.3,28.3,4.0,5.0,79.6,1.5,3.5,4.9,2.1,2.3,2.7,0.1,2.9,33.7,0,0,-5.6,06-07,Tarence Kinsey(06-07),MEM(06-07),104.8,109.8,-5.0,6.8,0.89,9.4,3.2,7.5,5.4,10.6,47.9,53.2,17.8,97.91,7.5,0,1,1
